date,borough,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
2020-12-02,Waltham Forest,-35.85714286,-2.142857143,18.42857143,-49.14285714,-43.42857143,16
2020-12-03,Waltham Forest,-34.14285714,-3.285714286,11.57142857,-48.42857143,-42.57142857,15.57142857
2020-12-04,Waltham Forest,-31.42857143,-3.428571429,8.571428571,-47.42857143,-41.71428571,14.85714286
2020-12-05,Waltham Forest,-28.28571429,-3.142857143,7.285714286,-45.71428571,-39.71428571,14
2020-12-06,Waltham Forest,-25.42857143,-3.285714286,3.428571429,-44.42857143,-37.42857143,13.42857143
2020-12-07,Waltham Forest,-23.14285714,-3.428571429,1,-44.28571429,-37,13
2020-12-08,Waltham Forest,-20.85714286,-3.714285714,-0.571428571,-44,-36.57142857,12.57142857
2020-12-09,Waltham Forest,-21.14285714,-3.857142857,-1.142857143,-43.85714286,-36.85714286,12.57142857
2020-12-10,Waltham Forest,-20,-2.571428571,3,-43.71428571,-37,12.42857143
2020-12-11,Waltham Forest,-20.28571429,-2.714285714,3.857142857,-43.57142857,-37,12.42857143
2020-12-12,Waltham Forest,-20.85714286,-3.142857143,2.285714286,-43.57142857,-37.14285714,12.42857143
2020-12-13,Waltham Forest,-21.71428571,-3.714285714,-1.285714286,-43.85714286,-37.14285714,12.57142857
2020-12-14,Waltham Forest,-22,-3.857142857,-2.571428571,-43.71428571,-37.28571429,12.57142857
2020-12-15,Waltham Forest,-20.57142857,-3.142857143,-0.571428571,-43.57142857,-37.71428571,12.42857143
2020-12-16,Waltham Forest,-21.85714286,-3,-1,-44.28571429,-38.57142857,12.85714286
2020-12-17,Waltham Forest,-23,-2.142857143,2.142857143,-45.28571429,-39.57142857,13.28571429
2020-12-18,Waltham Forest,-24.28571429,-1.571428571,2,-46.28571429,-41.28571429,14
2020-12-19,Waltham Forest,-25.85714286,-1.142857143,1.857142857,-47.42857143,-42.57142857,14.42857143
2020-12-20,Waltham Forest,-28,0.285714286,9.142857143,-48.85714286,-44.14285714,14.85714286
2020-12-21,Waltham Forest,-29.85714286,2.857142857,10,-51,-46.71428571,16
2020-12-22,Waltham Forest,-32.85714286,5.428571429,8.714285714,-53.28571429,-49.28571429,17.28571429
2020-12-23,Waltham Forest,-32.57142857,10.14285714,9.857142857,-54.85714286,-51.71428571,18.14285714
2020-12-24,Waltham Forest,-33.42857143,13.14285714,10.28571429,-57,-55,19.42857143
2020-12-25,Waltham Forest,-41.42857143,1.428571429,10,-63.14285714,-60.14285714,21.85714286
2020-12-26,Waltham Forest,-47.14285714,-6.428571429,7.285714286,-67.14285714,-65,23.28571429
2020-12-27,Waltham Forest,-48.85714286,-9.142857143,6.285714286,-68.42857143,-66.57142857,23.57142857
2020-12-28,Waltham Forest,-50.71428571,-13.57142857,9.428571429,-70.28571429,-69,24.71428571
2020-12-29,Waltham Forest,-52,-16.85714286,10,-71.42857143,-70.14285714,25.42857143
2020-12-30,Waltham Forest,-53.57142857,-20.42857143,13.71428571,-72.28571429,-71.14285714,26
2020-12-31,Waltham Forest,-54.71428571,-22.28571429,11.57142857,-72.57142857,-71.28571429,26.28571429
2021-01-01,Waltham Forest,-53.42857143,-19,11.14285714,-70.85714286,-70.71428571,26.14285714
2021-01-02,Waltham Forest,-51.14285714,-14.14285714,15.42857143,-69.71428571,-69,25.85714286
2021-01-03,Waltham Forest,-51,-14.42857143,13.42857143,-69.57142857,-68.71428571,25.85714286
2021-01-04,Waltham Forest,-50.85714286,-13.85714286,8.571428571,-68.14285714,-65.85714286,25
2021-01-05,Waltham Forest,-52.42857143,-15.71428571,2.142857143,-67.57142857,-64.28571429,24.57142857
2021-01-06,Waltham Forest,-54.14285714,-18.71428571,-3,-67.14285714,-62.57142857,24.14285714
2021-01-07,Waltham Forest,-55.57142857,-22.71428571,-5.428571429,-66.57142857,-60.57142857,23.71428571
2021-01-08,Waltham Forest,-52.14285714,-17.14285714,-7.142857143,-64.28571429,-57,22.42857143
2021-01-09,Waltham Forest,-51.71428571,-16.42857143,-8.285714286,-63.71428571,-55.85714286,22.28571429
2021-01-10,Waltham Forest,-52,-16.28571429,-9.428571429,-64.14285714,-56.14285714,22.42857143
2021-01-11,Waltham Forest,-52.71428571,-17,-8,-64.28571429,-56.14285714,22.42857143
2021-01-12,Waltham Forest,-52.71428571,-17.14285714,-6,-64.28571429,-56.14285714,22.42857143
2021-01-13,Waltham Forest,-53.42857143,-17.85714286,-10.71428571,-64.57142857,-56.28571429,22.42857143
2021-01-14,Waltham Forest,-54.28571429,-19.14285714,-16.57142857,-65,-56.57142857,22.42857143
2021-01-15,Waltham Forest,-54,-18.71428571,-15,-64.85714286,-56.57142857,22.14285714
2021-01-16,Waltham Forest,-54.14285714,-19.28571429,-18.57142857,-64.85714286,-56.85714286,22.14285714
2021-01-17,Waltham Forest,-53.28571429,-18.71428571,-11.14285714,-64.42857143,-56.71428571,22
2021-01-18,Waltham Forest,-53,-18.85714286,-10.85714286,-64.14285714,-56.71428571,21.85714286
2021-01-19,Waltham Forest,-53,-19,-10.71428571,-64,-56.71428571,21.71428571
2021-01-20,Waltham Forest,-53,-19.14285714,-9.714285714,-63.57142857,-56.57142857,21.71428571
2021-01-21,Waltham Forest,-52,-17.71428571,-2.428571429,-63,-56.28571429,21.57142857
2021-01-22,Waltham Forest,-51.57142857,-17.28571429,2.857142857,-62.71428571,-56,21.42857143
2021-01-23,Waltham Forest,-50.85714286,-16.28571429,7.857142857,-62.14285714,-55.71428571,21.14285714
2021-01-24,Waltham Forest,-52,-17.28571429,3,-62.57142857,-56.14285714,21.28571429
2021-01-25,Waltham Forest,-51.57142857,-16.57142857,5.428571429,-62.57142857,-56.14285714,21.14285714
2021-01-26,Waltham Forest,-51.42857143,-16.42857143,5.285714286,-62.71428571,-56,21.14285714
2021-01-27,Waltham Forest,-50.71428571,-15.42857143,10.28571429,-62.71428571,-55.85714286,21
2021-01-28,Waltham Forest,-50.71428571,-15,10.85714286,-62.57142857,-55.71428571,20.85714286
