date,borough,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
2021-10-09,Enfield,-13.571428571428571,-3.2857142857142856,18.142857142857142,-35.142857142857146,-28.714285714285715,5.571428571428571
2021-10-10,Enfield,-13.571428571428571,-3.857142857142857,18.571428571428573,-35.857142857142854,-28.714285714285715,5.571428571428571
2021-10-11,Enfield,-13.142857142857142,-3.5714285714285716,21.428571428571427,-35.857142857142854,-28.428571428571427,5.428571428571429
2021-10-12,Enfield,-12.857142857142858,-3.4285714285714284,22.714285714285715,-35.57142857142857,-28.142857142857142,5.428571428571429
2021-10-13,Enfield,-12.857142857142858,-3.4285714285714284,21.714285714285715,-35.285714285714285,-28.0,5.428571428571429
2021-10-14,Enfield,-12.571428571428571,-3.5714285714285716,22.0,-35.42857142857143,-27.857142857142858,5.428571428571429
2021-10-15,Enfield,-12.285714285714286,-3.857142857142857,21.0,-35.42857142857143,-27.714285714285715,5.428571428571429
2021-10-16,Enfield,-12.285714285714286,-4.0,18.428571428571427,-36.142857142857146,-27.714285714285715,5.571428571428571
2021-10-17,Enfield,-11.857142857142858,-3.857142857142857,19.0,-36.142857142857146,-27.714285714285715,5.571428571428571
2021-10-18,Enfield,-12.142857142857142,-4.428571428571429,15.714285714285714,-36.57142857142857,-27.857142857142858,5.714285714285714
2021-10-19,Enfield,-12.285714285714286,-5.0,15.142857142857142,-37.0,-27.857142857142858,5.714285714285714
2021-10-20,Enfield,-12.285714285714286,-5.285714285714286,13.571428571428571,-37.57142857142857,-27.857142857142858,5.857142857142857
2021-10-21,Enfield,-12.0,-5.142857142857143,13.0,-37.857142857142854,-27.857142857142858,5.857142857142857
2021-10-22,Enfield,-12.428571428571429,-5.285714285714286,12.0,-38.285714285714285,-28.0,6.0
2021-10-23,Enfield,-12.714285714285714,-5.571428571428571,9.857142857142858,-38.57142857142857,-28.0,6.0
2021-10-24,Enfield,-13.142857142857142,-6.285714285714286,8.714285714285714,-39.42857142857143,-28.142857142857142,5.857142857142857
2021-10-25,Enfield,-12.714285714285714,-6.285714285714286,12.0,-40.0,-29.428571428571427,6.0
2021-10-26,Enfield,-12.285714285714286,-6.285714285714286,13.571428571428571,-40.42857142857143,-30.714285714285715,6.142857142857143
2021-10-27,Enfield,-11.714285714285714,-6.285714285714286,14.714285714285714,-41.0,-32.142857142857146,6.285714285714286
2021-10-28,Enfield,-11.285714285714286,-6.285714285714286,16.285714285714285,-41.42857142857143,-33.57142857142857,6.428571428571429
2021-10-29,Enfield,-11.142857142857142,-6.285714285714286,16.714285714285715,-42.0,-34.857142857142854,6.571428571428571
2021-10-30,Enfield,-10.714285714285714,-5.857142857142857,17.285714285714285,-40.714285714285715,-35.285714285714285,6.571428571428571
2021-10-31,Enfield,-11.285714285714286,-5.285714285714286,13.142857142857142,-41.142857142857146,-35.42857142857143,6.714285714285714
2021-11-01,Enfield,-11.714285714285714,-4.714285714285714,10.857142857142858,-40.285714285714285,-34.142857142857146,6.428571428571429
2021-11-02,Enfield,-12.0,-4.0,10.285714285714286,-39.714285714285715,-32.714285714285715,6.142857142857143
2021-11-03,Enfield,-12.571428571428571,-4.0,8.0,-38.857142857142854,-31.142857142857142,5.857142857142857
2021-11-04,Enfield,-13.428571428571429,-4.142857142857143,4.571428571428571,-38.285714285714285,-29.571428571428573,5.714285714285714
2021-11-05,Enfield,-13.285714285714286,-3.857142857142857,4.285714285714286,-37.57142857142857,-28.142857142857142,5.571428571428571
2021-11-06,Enfield,-13.428571428571429,-4.142857142857143,6.0,-38.285714285714285,-27.857142857142858,5.571428571428571
