date,restriction
2021-07-09,Roadmap out of lockdown: Step 3
2021-07-10,Roadmap out of lockdown: Step 3
2021-07-11,Roadmap out of lockdown: Step 3
2021-07-12,Roadmap out of lockdown: Step 3
2021-07-13,Roadmap out of lockdown: Step 3
2021-07-14,Roadmap out of lockdown: Step 3
2021-07-15,Roadmap out of lockdown: Step 3
2021-07-16,Roadmap out of lockdown: Step 3
2021-07-17,Roadmap out of lockdown: Step 3
2021-07-18,Roadmap out of lockdown: Step 3
2021-07-19,Roadmap out of lockdown: Step 4
2021-07-20,Roadmap out of lockdown: Step 4
2021-07-21,Roadmap out of lockdown: Step 4
2021-07-22,Roadmap out of lockdown: Step 4
2021-07-23,Roadmap out of lockdown: Step 4
2021-07-24,Roadmap out of lockdown: Step 4
2021-07-25,Roadmap out of lockdown: Step 4
2021-07-26,Roadmap out of lockdown: Step 4
2021-07-27,Roadmap out of lockdown: Step 4
2021-07-28,Roadmap out of lockdown: Step 4
2021-07-29,Roadmap out of lockdown: Step 4
2021-07-30,Roadmap out of lockdown: Step 4
2021-07-31,Roadmap out of lockdown: Step 4
2021-08-01,Roadmap out of lockdown: Step 4
2021-08-02,Roadmap out of lockdown: Step 4
2021-08-03,Roadmap out of lockdown: Step 4
2021-08-04,Roadmap out of lockdown: Step 4
2021-08-05,Roadmap out of lockdown: Step 4
2021-08-06,Roadmap out of lockdown: Step 4
2021-08-07,Roadmap out of lockdown: Step 4
2021-08-08,Roadmap out of lockdown: Step 4
2021-08-09,Roadmap out of lockdown: Step 4
2021-08-10,Roadmap out of lockdown: Step 4
2021-08-11,Roadmap out of lockdown: Step 4
2021-08-12,Roadmap out of lockdown: Step 4
2021-08-13,Roadmap out of lockdown: Step 4
2021-08-14,Roadmap out of lockdown: Step 4
2021-08-15,Roadmap out of lockdown: Step 4
2021-08-16,Roadmap out of lockdown: Step 4
2021-08-17,Roadmap out of lockdown: Step 4
2021-08-18,Roadmap out of lockdown: Step 4
2021-08-19,Roadmap out of lockdown: Step 4
2021-08-20,Roadmap out of lockdown: Step 4
2021-08-21,Roadmap out of lockdown: Step 4
2021-08-22,Roadmap out of lockdown: Step 4
2021-08-23,Roadmap out of lockdown: Step 4
2021-08-24,Roadmap out of lockdown: Step 4
2021-08-25,Roadmap out of lockdown: Step 4
2021-08-26,Roadmap out of lockdown: Step 4
2021-08-27,Roadmap out of lockdown: Step 4
2021-08-28,Roadmap out of lockdown: Step 4
2021-08-29,Roadmap out of lockdown: Step 4
2021-08-30,Roadmap out of lockdown: Step 4
2021-08-31,Roadmap out of lockdown: Step 4
2021-09-01,Roadmap out of lockdown: Step 4
2021-09-02,Roadmap out of lockdown: Step 4
2021-09-03,Roadmap out of lockdown: Step 4
2021-09-04,Roadmap out of lockdown: Step 4
2021-09-05,Roadmap out of lockdown: Step 4
2021-09-06,Roadmap out of lockdown: Step 4
2021-09-07,Roadmap out of lockdown: Step 4
2021-09-08,Roadmap out of lockdown: Step 4
2021-09-09,Roadmap out of lockdown: Step 4
2021-09-10,Roadmap out of lockdown: Step 4
2021-09-11,Roadmap out of lockdown: Step 4
2021-09-12,Roadmap out of lockdown: Step 4
2021-09-13,Roadmap out of lockdown: Step 4
2021-09-14,Roadmap out of lockdown: Step 4
2021-09-15,Roadmap out of lockdown: Step 4
2021-09-16,Roadmap out of lockdown: Step 4
2021-09-17,Roadmap out of lockdown: Step 4
2021-09-18,Roadmap out of lockdown: Step 4
2021-09-19,Roadmap out of lockdown: Step 4
2021-09-20,Roadmap out of lockdown: Step 4
2021-09-21,Roadmap out of lockdown: Step 4
2021-09-22,Roadmap out of lockdown: Step 4
2021-09-23,Roadmap out of lockdown: Step 4
2021-09-24,Roadmap out of lockdown: Step 4
2021-09-25,Roadmap out of lockdown: Step 4
2021-09-26,Roadmap out of lockdown: Step 4
2021-09-27,Roadmap out of lockdown: Step 4
2021-09-28,Roadmap out of lockdown: Step 4
2021-09-29,Roadmap out of lockdown: Step 4
2021-09-30,Roadmap out of lockdown: Step 4
2021-10-01,Roadmap out of lockdown: Step 4
2021-10-02,Roadmap out of lockdown: Step 4
2021-10-03,Roadmap out of lockdown: Step 4
2021-10-04,Roadmap out of lockdown: Step 4
2021-10-05,Roadmap out of lockdown: Step 4
2021-10-06,Roadmap out of lockdown: Step 4
2021-10-07,Roadmap out of lockdown: Step 4
2021-10-08,Roadmap out of lockdown: Step 4
2021-10-09,Roadmap out of lockdown: Step 4
2021-10-10,Roadmap out of lockdown: Step 4
2021-10-11,Roadmap out of lockdown: Step 4
2021-10-12,Roadmap out of lockdown: Step 4
2021-10-13,Roadmap out of lockdown: Step 4
2021-10-14,Roadmap out of lockdown: Step 4
2021-10-15,Roadmap out of lockdown: Step 4
2021-10-16,Roadmap out of lockdown: Step 4
2021-10-17,Roadmap out of lockdown: Step 4
2021-10-18,Roadmap out of lockdown: Step 4
2021-10-19,Roadmap out of lockdown: Step 4
2021-10-20,Roadmap out of lockdown: Step 4
2021-10-21,Roadmap out of lockdown: Step 4
2021-10-22,Roadmap out of lockdown: Step 4
2021-10-23,Roadmap out of lockdown: Step 4
2021-10-24,Roadmap out of lockdown: Step 4
2021-10-25,Roadmap out of lockdown: Step 4
2021-10-26,Roadmap out of lockdown: Step 4
2021-10-27,Roadmap out of lockdown: Step 4
2021-10-28,Roadmap out of lockdown: Step 4
2021-10-29,Roadmap out of lockdown: Step 4
2021-10-30,Roadmap out of lockdown: Step 4
2021-10-31,Roadmap out of lockdown: Step 4
2021-11-01,Roadmap out of lockdown: Step 4
2021-11-02,Roadmap out of lockdown: Step 4
2021-11-03,Roadmap out of lockdown: Step 4
2021-11-04,Roadmap out of lockdown: Step 4
2021-11-05,Roadmap out of lockdown: Step 4
2021-11-06,Roadmap out of lockdown: Step 4
2021-11-07,Roadmap out of lockdown: Step 4
2021-11-08,Roadmap out of lockdown: Step 4
2021-11-09,Roadmap out of lockdown: Step 4
2021-11-10,Roadmap out of lockdown: Step 4
2021-11-11,Roadmap out of lockdown: Step 4
2021-11-12,Roadmap out of lockdown: Step 4
2021-11-13,Roadmap out of lockdown: Step 4
2021-11-14,Roadmap out of lockdown: Step 4
2021-11-15,Roadmap out of lockdown: Step 4
2021-11-16,Roadmap out of lockdown: Step 4
2021-11-17,Roadmap out of lockdown: Step 4
2021-11-18,Roadmap out of lockdown: Step 4
2021-11-19,Roadmap out of lockdown: Step 4
2021-11-20,Roadmap out of lockdown: Step 4
2021-11-21,Roadmap out of lockdown: Step 4
2021-11-22,Roadmap out of lockdown: Step 4
2021-11-23,Roadmap out of lockdown: Step 4
2021-11-24,Roadmap out of lockdown: Step 4
2021-11-25,Roadmap out of lockdown: Step 4
2021-11-26,Roadmap out of lockdown: Step 4
2021-11-27,Roadmap out of lockdown: Step 4
2021-11-28,Roadmap out of lockdown: Step 4
2021-11-29,Roadmap out of lockdown: Step 4
2021-11-30,Roadmap out of lockdown: Step 4
2021-12-01,Roadmap out of lockdown: Step 4
2021-12-02,Roadmap out of lockdown: Step 4
