date,variable,value
2022-04-05,retail_and_recreation,-30.0
2022-04-06,retail_and_recreation,-32.0
2022-04-07,retail_and_recreation,-28.0
2022-04-08,retail_and_recreation,-31.0
2022-04-09,retail_and_recreation,-28.0
2022-04-10,retail_and_recreation,-24.0
2022-04-11,retail_and_recreation,-22.0
2022-04-12,retail_and_recreation,-25.0
2022-04-13,retail_and_recreation,-25.0
2022-04-14,retail_and_recreation,-19.0
2022-04-15,retail_and_recreation,-30.0
2022-04-16,retail_and_recreation,-33.0
2022-04-17,retail_and_recreation,-39.0
2022-04-18,retail_and_recreation,-24.0
2022-04-19,retail_and_recreation,-32.0
2022-04-20,retail_and_recreation,-29.0
2022-04-21,retail_and_recreation,-27.0
2022-04-22,retail_and_recreation,-31.0
2022-04-23,retail_and_recreation,-27.0
2022-04-24,retail_and_recreation,-26.0
2022-04-25,retail_and_recreation,-26.0
